Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto;
1;33;Del Giro;76402732-9;JELDRES E HIJOS METALMECANICA AUTOMOTRIZ LIMITADA;876;14-11-2017;14-11-2017 2:20;0;180000;34200;;;214200;;;;;0;;;;;
2;33;Del Giro;14154398-9;SERGIO ESTEBAN CANCINO MORALES;837;14-11-2017;14-11-2017 2:26;0;89220;16952;;;106172;;;;;0;;;;;
3;33;Del Giro;76101675-K;PLASTICOS AUTOMOTORES LIMITADA;2128;14-11-2017;14-11-2017 6:28;0;60000;11400;;;71400;;;;;0;;;;;
4;33;Del Giro;76245828-4;Porsche Chile SpA;1229507;14-11-2017;14-11-2017 9:04;0;107570;20438;;;128008;;;;;0;;;;;
5;33;Del Giro;76245828-4;Porsche Chile SpA;1229508;14-11-2017;14-11-2017 9:04;0;107570;20438;;;128008;;;;;0;;;;;
6;33;Del Giro;96726670-1;FORUM DISTRIBUIDORA S A;230340;14-11-2017;14-11-2017 9:12;0;12471429;2369572;;;14841001;;;;;0;;;;;
7;33;Del Giro;96726670-1;FORUM DISTRIBUIDORA S A;230341;14-11-2017;14-11-2017 9:12;0;13908403;2642597;;;16551000;;;;;0;;;;;
8;33;Del Giro;96726670-1;FORUM DISTRIBUIDORA S A;230339;14-11-2017;14-11-2017 9:12;0;17355000;3297450;;;20652450;;;;;0;;;;;
9;33;Del Giro;96726670-1;FORUM DISTRIBUIDORA S A;230342;14-11-2017;14-11-2017 9:12;0;10815798;2055002;;;12870800;;;;;0;;;;;
10;33;Del Giro;96726670-1;FORUM DISTRIBUIDORA S A;230345;14-11-2017;14-11-2017 9:12;0;8639700;1641543;;;10281243;;;;;0;;;;;
11;33;Del Giro;96726670-1;FORUM DISTRIBUIDORA S A;230344;14-11-2017;14-11-2017 9:12;0;21925210;4165790;;;26091000;;;;;0;;;;;
12;33;Del Giro;96726670-1;FORUM DISTRIBUIDORA S A;230352;14-11-2017;14-11-2017 9:12;0;17577000;3339630;;;20916630;;;;;0;;;;;
13;33;Del Giro;96726670-1;FORUM DISTRIBUIDORA S A;230346;14-11-2017;14-11-2017 9:12;0;10815798;2055002;;;12870800;;;;;0;;;;;
14;33;Del Giro;96726670-1;FORUM DISTRIBUIDORA S A;230347;14-11-2017;14-11-2017 9:12;0;7305882;1388118;;;8694000;;;;;0;;;;;
15;33;Del Giro;96726670-1;FORUM DISTRIBUIDORA S A;230343;14-11-2017;14-11-2017 9:12;0;14877000;2826630;;;17703630;;;;;0;;;;;
16;33;Del Giro;96726670-1;FORUM DISTRIBUIDORA S A;230348;14-11-2017;14-11-2017 9:12;0;9501513;1805287;;;11306800;;;;;0;;;;;
17;33;Del Giro;96726670-1;FORUM DISTRIBUIDORA S A;230353;14-11-2017;14-11-2017 9:12;0;18567000;3527730;;;22094730;;;;;0;;;;;
18;33;Del Giro;96726670-1;FORUM DISTRIBUIDORA S A;230357;14-11-2017;14-11-2017 9:12;0;11125042;2113758;;;13238800;;;;;0;;;;;
19;33;Del Giro;96726670-1;FORUM DISTRIBUIDORA S A;230349;14-11-2017;14-11-2017 9:12;0;11588908;2201892;;;13790800;;;;;0;;;;;
20;33;Del Giro;96726670-1;FORUM DISTRIBUIDORA S A;230354;14-11-2017;14-11-2017 9:12;0;17577000;3339630;;;20916630;;;;;0;;;;;
21;33;Del Giro;96726670-1;FORUM DISTRIBUIDORA S A;230350;14-11-2017;14-11-2017 9:12;0;16554000;3145260;;;19699260;;;;;0;;;;;
22;33;Del Giro;96726670-1;FORUM DISTRIBUIDORA S A;230351;14-11-2017;14-11-2017 9:12;0;17000673;3230128;;;20230801;;;;;0;;;;;
23;33;Del Giro;96726670-1;FORUM DISTRIBUIDORA S A;230361;14-11-2017;14-11-2017 9:12;0;14877000;2826630;;;17703630;;;;;0;;;;;
24;33;Del Giro;96726670-1;FORUM DISTRIBUIDORA S A;230355;14-11-2017;14-11-2017 9:12;0;11907000;2262330;;;14169330;;;;;0;;;;;
25;33;Del Giro;96726670-1;FORUM DISTRIBUIDORA S A;230364;14-11-2017;14-11-2017 9:12;0;14301000;2717190;;;17018190;;;;;0;;;;;
26;33;Del Giro;96726670-1;FORUM DISTRIBUIDORA S A;230366;14-11-2017;14-11-2017 9:12;0;9501513;1805287;;;11306800;;;;;0;;;;;
27;33;Del Giro;96726670-1;FORUM DISTRIBUIDORA S A;230362;14-11-2017;14-11-2017 9:12;0;7305882;1388118;;;8694000;;;;;0;;;;;
28;33;Del Giro;96726670-1;FORUM DISTRIBUIDORA S A;230363;14-11-2017;14-11-2017 9:12;0;11588908;2201893;;;13790801;;;;;0;;;;;
29;33;Del Giro;96726670-1;FORUM DISTRIBUIDORA S A;230356;14-11-2017;14-11-2017 9:12;0;5853530;1112171;;;6965701;;;;;0;;;;;
30;33;Del Giro;96726670-1;FORUM DISTRIBUIDORA S A;230358;14-11-2017;14-11-2017 9:12;0;9656134;1834665;;;11490799;;;;;0;;;;;
31;33;Del Giro;96726670-1;FORUM DISTRIBUIDORA S A;230360;14-11-2017;14-11-2017 9:12;0;48523067;9219383;;;57742450;;;;;0;;;;;
32;33;Del Giro;96726670-1;FORUM DISTRIBUIDORA S A;230359;14-11-2017;14-11-2017 9:12;0;18276807;3472593;;;21749400;;;;;0;;;;;
33;33;Del Giro;96726670-1;FORUM DISTRIBUIDORA S A;230367;14-11-2017;14-11-2017 9:12;0;23263361;4420039;;;27683400;;;;;0;;;;;
34;33;Del Giro;96726670-1;FORUM DISTRIBUIDORA S A;230365;14-11-2017;14-11-2017 9:12;0;18206800;3459292;;;21666092;;;;;0;;;;;
35;33;Del Giro;76245828-4;Porsche Chile SpA;1211612;14-11-2017;14-11-2017 9:20;0;10933362;2077339;;;13010701;;;;;0;;;;;
36;33;Del Giro;76426066-K;RECABAL OPAZO ASOCIADOS LIMITADA;177;14-11-2017;14-11-2017 9:39;0;4000000;760000;;;4760000;;;;;0;;;;;
